#Release 14.7 - par P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu Jun 16 15:36:59 2016

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       tan_combinatorial_map.ncd
#OUTPUT FILE:      tan_combinatorial_pad.csv
#PART TYPE:        xc7a100t
#SPEED GRADE:      -3
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
T14,angle<13>,IOB,IO_L14P_T2_SRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T15,angle<14>,IOB,IO_L14N_T2_SRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T16,angle<16>,IOB,IO_L15N_T2_DQS_DOUT_CSO_B_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T17,,,GND,,,,,,,,,,,,
T18,angle<0>,IOB,IO_L7N_T1_D10_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
U1,,IOB33M,IO_L7P_T1_34,UNUSED,,34,,,,,,,,,
U2,operand_b<21>,IOB,IO_L9P_T1_DQS_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
U3,operand_b<20>,IOB,IO_L8N_T1_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
U4,operand_b<19>,IOB,IO_L8P_T1_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
U5,,,VCCO_34,,,34,,,,,1.80,,,,
U6,,IOB33S,IO_L22N_T3_34,UNUSED,,34,,,,,,,,,
U7,,IOB33M,IO_L22P_T3_34,UNUSED,,34,,,,,,,,,
U8,,IOB33,IO_25_34,UNUSED,,34,,,,,,,,,
U9,,IOB33M,IO_L21P_T3_DQS_34,UNUSED,,34,,,,,,,,,
U10,,,GND,,,,,,,,,,,,
U11,angle<24>,IOB,IO_L19N_T3_A09_D25_VREF_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
U12,angle<25>,IOB,IO_L20P_T3_A08_D24_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
U13,angle<29>,IOB,IO_L23N_T3_A02_D18_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
U14,angle<28>,IOB,IO_L22P_T3_A05_D21_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
U15,,,VCCO_14,,,14,,,,,1.80,,,,
U16,angle<21>,IOB,IO_L18P_T2_A12_D28_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
U17,angle<19>,IOB,IO_L17P_T2_A14_D30_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
U18,angle<20>,IOB,IO_L17N_T2_A13_D29_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
V1,,IOB33S,IO_L7N_T1_34,UNUSED,,34,,,,,,,,,
V2,operand_b<22>,IOB,IO_L9N_T1_DQS_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
V3,,,GND,,,,,,,,,,,,
V4,operand_b<24>,IOB,IO_L10N_T1_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
V5,operand_b<23>,IOB,IO_L10P_T1_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
V6,,IOB33S,IO_L20N_T3_34,UNUSED,,34,,,,,,,,,
V7,,IOB33M,IO_L20P_T3_34,UNUSED,,34,,,,,,,,,
V8,,,VCCO_34,,,34,,,,,1.80,,,,
V9,,IOB33S,IO_L21N_T3_DQS_34,UNUSED,,34,,,,,,,,,
V10,angle<31>,IOB,IO_L21P_T3_DQS_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
V11,operand_b<3>,IOB,IO_L21N_T3_DQS_A06_D22_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
V12,angle<30>,IOB,IO_L20N_T3_A07_D23_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
V13,,,GND,,,,,,,,,,,,
V14,angle<26>,IOB,IO_L22N_T3_A04_D20_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
V15,angle<17>,IOB,IO_L16P_T2_CSI_B_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
V16,angle<18>,IOB,IO_L16N_T2_A15_D31_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
V17,angle<22>,IOB,IO_L18N_T2_A11_D27_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
V18,,,VCCO_14,,,14,,,,,1.80,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#All RSVD_0 pins must be tied to GROUND.
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
